time,q_depth,rabbit_mem_mb,alarms,rabbit_ctr_mem,kafka_ctr_mem,kafka_lag,rabbit_disk_mb,kafka_disk_mb,geo_records,geo_regression,stale_p99_s,stale_max_s
17:33:14,0,172,-,183.7MiB,666.1MiB,126,4,194,99676.0,0.0,0.5,0.7
17:33:23,0,172,-,183.2MiB,666.7MiB,109,4,195,124336.0,0.0,0.5,0.7
17:33:32,0,171,-,183.2MiB,666.4MiB,138,4,195,152306.0,0.0,0.5,0.7
17:33:41,0,171,-,183.2MiB,666.4MiB,64,4,201,177070.0,0.0,0.0,0.7
17:33:49,0,171,-,183.2MiB,666.6MiB,99,4,201,205596.0,0.0,0.0,0.7
17:33:59,0,171,-,250.9MiB,666.9MiB,97,4,202,233180.0,0.0,0.1,0.7
17:34:08,0,171,-,182.7MiB,666.7MiB,162,4,202,261304.0,0.0,0.1,0.7
17:34:18,0,171,-,182.2MiB,667.5MiB,16673,4,208,,,0.0,0.0
17:34:27,0,171,-,182.2MiB,667.6MiB,43399,4,208,,,0.0,0.0
17:34:36,0,170,-,182.2MiB,667.8MiB,70498,4,208,,,0.0,0.0
17:34:45,0,170,-,182.3MiB,667.4MiB,97183,4,208,,,0.0,0.0
17:34:54,0,170,-,182.2MiB,667.5MiB,124763,4,214,,,0.0,0.0
17:35:03,0,170,-,182.3MiB,709.4MiB,152132,4,214,,,0.0,0.0
17:35:12,0,170,-,182.2MiB,668.5MiB,179804,4,214,,,0.0,0.0
17:35:21,0,170,-,182.2MiB,667.7MiB,204085,4,214,,,0.0,0.0
17:35:30,0,170,-,182.3MiB,668.1MiB,232103,4,220,,,0.0,0.0
17:35:39,0,170,-,182.3MiB,667.7MiB,259290,4,220,,,0.0,0.0
17:35:48,0,170,-,182.3MiB,725.9MiB,286588,4,220,,,0.0,0.0
17:35:57,0,170,-,182.3MiB,668.3MiB,313105,4,220,,,0.0,0.0
17:36:06,0,170,-,182.3MiB,668.7MiB,340288,4,226,,,0.0,0.0
17:36:15,0,170,-,182.3MiB,667.9MiB,367013,4,226,,,0.0,0.0
17:36:24,0,170,-,182.3MiB,668MiB,394255,4,226,,,0.0,0.0
17:36:33,0,170,-,182.3MiB,667.9MiB,421575,4,228,,,0.0,0.0
17:36:42,0,170,-,181.8MiB,669.1MiB,449098,4,232,,,0.0,0.0
17:36:51,0,170,-,181.8MiB,668.4MiB,476440,4,232,,,0.0,0.0
17:37:00,0,170,-,181.8MiB,668.7MiB,503789,4,232,,,0.0,0.0
17:37:10,0,170,-,181.8MiB,668.2MiB,531001,4,234,,,0.0,0.0
17:37:19,0,170,-,181.3MiB,668.5MiB,558309,4,238,,,0.0,0.0
17:37:28,0,170,-,180.8MiB,737.3MiB,583028,4,238,,,0.0,0.0
17:37:36,0,169,-,180.8MiB,668.3MiB,610087,4,238,,,0.0,0.0
17:37:45,0,169,-,180.8MiB,668.4MiB,637189,4,240,,,0.0,0.0
17:37:54,0,169,-,180.8MiB,668.4MiB,661574,4,244,,,0.0,0.0
17:38:02,0,169,-,180.8MiB,668.5MiB,688877,4,244,,,0.0,0.0
17:38:11,0,169,-,180.8MiB,668.6MiB,713719,4,244,,,0.0,0.0
17:38:19,0,169,-,180.8MiB,668.6MiB,741133,4,246,,,0.0,0.0
17:38:29,0,169,-,180.9MiB,669.7MiB,769833,4,250,,,0.0,0.0
17:38:38,0,169,-,180.9MiB,668.7MiB,794182,4,250,,,0.0,0.0
17:38:46,0,169,-,180.9MiB,670.9MiB,820613,4,250,,,0.0,0.0
17:38:55,0,169,-,180.9MiB,670.6MiB,848637,4,252,,,0.0,0.0
17:39:05,0,169,-,180.9MiB,671.1MiB,873573,4,256,,,0.0,0.0
17:39:13,0,169,-,180.4MiB,673.1MiB,899867,4,256,,,0.0,0.0
17:39:22,0,168,-,180.4MiB,672.9MiB,881219,4,256,59500.0,0.0,317.8,310.2
17:39:32,0,168,-,180.4MiB,762.3MiB,744946,4,258,221000.0,0.0,300.6,310.2
17:39:40,0,168,-,261.8MiB,672.7MiB,597417,4,260,395500.0,0.0,300.6,310.2
17:39:49,0,168,-,180.4MiB,676MiB,419696,4,262,601500.0,0.0,304.9,310.2
17:39:58,0,168,-,180.4MiB,676MiB,240115,4,262,809000.0,0.0,307.1,310.2
17:40:07,0,168,-,180.6MiB,679.9MiB,69225,4,264,1006500.0,0.0,309.1,310.2
17:40:16,0,168,-,180.7MiB,680.1MiB,125,4,267,1090406.0,0.0,231.9,310.2
17:40:25,0,168,-,180.8MiB,680.2MiB,125,4,269,1118311.0,0.0,231.9,310.2
17:40:34,0,169,-,180.9MiB,680.2MiB,126,4,269,1147825.0,0.0,107.4,310.2
17:40:44,0,169,-,181MiB,680.8MiB,60,4,271,1176592.0,0.0,107.4,310.2
17:40:54,0,169,-,181MiB,680.3MiB,120,4,275,1204183.0,0.0,107.4,310.2
17:41:03,0,169,-,181.1MiB,680.5MiB,127,4,276,1232532.0,0.0,0.1,310.2
17:41:12,0,169,-,180.8MiB,761.4MiB,170,4,276,1257407.0,0.0,0.1,310.2
17:41:21,0,169,-,180.9MiB,680.2MiB,0,4,276,1259345.0,0.0,0.1,310.2
17:41:30,0,169,-,181MiB,680.2MiB,0,4,276,1259345.0,0.0,0.1,310.2
17:41:39,0,169,-,179.7MiB,680.1MiB,0,4,276,,,0.0,0.0
