time,q_depth,rabbit_mem_mb,alarms,rabbit_ctr_mem,kafka_ctr_mem,kafka_lag,rabbit_disk_mb,kafka_disk_mb,geo_records,geo_regression,stale_p99_s,stale_max_s
17:46:32,0,174,-,226.3MiB,680.2MiB,0,4,276,195688.0,0.0,0.1,5.2
17:46:41,160,202,-,229.9MiB,680.3MiB,0,4,276,223657.0,0.0,0.1,5.2
17:46:51,199,213,-,231.8MiB,680.3MiB,0,4,276,229493.0,0.0,0.1,5.2
17:47:00,0,200,mem,219.8MiB,774.9MiB,0,4,276,229493.0,0.0,0.1,5.2
17:47:09,0,192,mem,207.5MiB,680.6MiB,0,4,276,229493.0,0.0,0.1,5.2
17:47:19,0,183,mem,243.9MiB,680.3MiB,0,13,276,245903.0,2228.0,33.3,32.7
17:47:27,0,364,-,372MiB,680.3MiB,0,4,276,300480.0,15536.0,33.3,32.7
17:47:37,63,276,-,303.9MiB,680.3MiB,0,4,276,327623.0,15536.0,32.2,32.7
17:47:46,149,265,-,289.2MiB,680.3MiB,0,4,276,345418.0,15536.0,32.2,32.7
17:47:55,0,246,-,255.8MiB,700.3MiB,0,4,276,345418.0,15536.0,32.2,32.7
