time,q_depth,rabbit_mem_mb,alarms,rabbit_ctr_mem,kafka_ctr_mem,kafka_lag,rabbit_disk_mb,kafka_disk_mb,geo_records,geo_regression,stale_p99_s,stale_max_s
17:23:29,0,167,-,214.9MiB,657.1MiB,0,3,188,283088.0,0.0,0.1,1.0
17:23:39,178,198,-,219MiB,742MiB,0,3,188,311385.0,0.0,0.1,1.0
17:23:48,188,194,-,218MiB,657.4MiB,0,3,188,339630.0,0.0,0.1,1.0
17:23:58,76,195,-,221.4MiB,657.5MiB,0,3,188,365415.0,0.0,0.1,1.0
17:24:06,132,196,-,307.8MiB,657.6MiB,0,3,188,392170.0,0.0,0.1,1.0
17:24:15,83,195,-,218.7MiB,657.6MiB,0,3,188,419785.0,0.0,0.1,1.0
17:24:24,193,197,-,217.5MiB,658MiB,0,3,188,448055.0,0.0,0.1,1.0
17:24:34,115,196,-,271.8MiB,673.5MiB,0,15,188,,,0.0,0.0
17:24:44,26808,247,-,266.2MiB,654.7MiB,0,31,188,,,0.0,0.0
17:24:53,41810,243,-,268.2MiB,660.8MiB,0,45,188,,,0.0,0.0
17:25:02,71816,239,-,283.4MiB,660.8MiB,0,61,188,,,0.0,0.0
17:25:12,101831,237,-,288.5MiB,660.8MiB,0,76,188,,,0.0,0.0
17:25:21,131828,250,-,280.1MiB,660.9MiB,0,91,188,,,0.0,0.0
17:25:30,161855,245,-,282.9MiB,662.3MiB,0,105,188,,,0.0,0.0
17:25:38,176839,247,-,286.1MiB,662.4MiB,0,120,188,,,0.0,0.0
17:25:47,206894,246,-,287.8MiB,662.5MiB,0,134,188,,,0.0,0.0
17:25:56,236900,245,-,281MiB,662.6MiB,0,148,188,,,0.0,0.0
17:26:05,266915,249,-,286.5MiB,662.6MiB,0,163,188,,,0.0,0.0
17:26:14,296921,249,-,285.3MiB,662.6MiB,0,178,188,,,0.0,0.0
17:26:23,311582,254,-,295.9MiB,662.7MiB,0,194,188,,,0.0,0.0
17:26:33,341589,253,-,291.2MiB,662.7MiB,0,209,188,,,0.0,0.0
17:26:42,371595,254,-,281.8MiB,662.8MiB,0,223,188,,,0.0,0.0
17:26:51,401600,256,-,295.4MiB,662.8MiB,0,239,188,,,0.0,0.0
17:27:00,431606,257,-,289.9MiB,711.1MiB,0,254,188,,,0.0,0.0
17:27:09,461612,258,-,297.7MiB,663MiB,0,268,188,,,0.0,0.0
17:27:18,476615,261,-,297.7MiB,663.4MiB,0,281,188,,,0.0,0.0
17:27:26,506621,257,-,287.6MiB,663.5MiB,0,295,188,,,0.0,0.0
17:27:35,536627,253,-,287MiB,663.5MiB,0,310,188,,,0.0,0.0
17:27:44,566633,253,-,294.7MiB,663.5MiB,0,324,188,,,0.0,0.0
17:27:52,581637,253,-,294.6MiB,663.6MiB,0,340,188,,,0.0,0.0
17:28:01,611642,255,-,294.4MiB,663.7MiB,0,354,188,,,0.0,0.0
17:28:11,641648,255,-,294.2MiB,663.8MiB,0,367,188,,,0.0,0.0
17:28:19,671654,257,-,302.5MiB,664MiB,0,383,188,,,0.0,0.0
17:28:28,686657,258,-,294.4MiB,663.8MiB,0,398,188,,,0.0,0.0
17:28:37,716664,259,-,303MiB,663.9MiB,0,412,188,,,0.0,0.0
17:28:46,746670,258,-,313.2MiB,663.9MiB,0,427,188,,,0.0,0.0
17:28:55,776676,265,-,307.3MiB,664.2MiB,0,442,188,,,0.0,0.0
17:29:04,806681,262,-,305MiB,663.9MiB,0,457,188,,,0.0,0.0
17:29:13,821684,262,-,294.6MiB,663.9MiB,0,472,188,,,0.0,0.0
17:29:22,851690,258,-,303.4MiB,663.9MiB,0,487,188,,,0.0,0.0
17:29:32,881697,265,-,307.4MiB,664MiB,0,496,188,17500.0,1.0,292.1,305.2
17:29:42,910889,268,-,328.7MiB,664MiB,0,447,188,131368.0,1.0,300.6,305.2
17:29:50,818515,305,-,330.7MiB,664.4MiB,0,382,188,278886.0,1.0,300.6,305.2
17:30:00,698039,301,-,331.1MiB,664.5MiB,0,324,188,416781.0,1.0,300.6,305.2
17:30:09,579650,296,-,334.9MiB,664.5MiB,0,261,188,558805.0,1.0,300.6,305.2
17:30:19,519152,300,-,339MiB,664.6MiB,0,196,188,706805.0,1.0,304.9,305.2
17:30:28,395634,314,-,339.3MiB,664.7MiB,0,133,188,850248.0,1.0,304.9,305.2
17:30:38,273203,311,-,337.7MiB,664.7MiB,0,86,188,961535.0,2.0,238.4,305.2
17:30:46,174986,292,-,333.9MiB,663.5MiB,0,28,188,1095265.0,2.0,240.0,305.2
17:30:55,52618,312,-,281.2MiB,684.3MiB,0,3,188,1165283.0,2.0,163.2,305.2
17:31:04,137,256,-,274.8MiB,663.6MiB,0,3,188,1190401.0,2.0,163.2,305.2
17:31:13,56,247,-,267.8MiB,663.6MiB,0,3,188,1218593.0,2.0,81.6,305.2
17:31:22,71,243,-,257.5MiB,663.7MiB,0,3,188,1243709.0,2.0,81.6,305.2
17:31:30,192,235,-,254.4MiB,750.3MiB,0,3,188,1259381.0,2.0,5.9,305.2
17:31:40,0,228,-,235.3MiB,706.4MiB,0,3,188,1259381.0,2.0,5.9,305.2
17:31:49,0,206,-,217.8MiB,664MiB,0,3,188,,,0.0,0.0
