time,q_depth,rabbit_mem_mb,alarms,rabbit_ctr_mem,kafka_ctr_mem,kafka_lag,rabbit_disk_mb,kafka_disk_mb,geo_records,geo_regression,stale_p99_s,stale_max_s
17:42:12,0,224,-,228MiB,680.1MiB,0,4,276,69488.0,0.0,0.7,1.2
17:42:21,190,213,-,224.4MiB,680.1MiB,0,4,276,97934.0,0.0,0.7,1.2
17:42:30,161,208,-,225.8MiB,680.1MiB,0,4,276,126419.0,0.0,0.6,1.2
17:42:40,208,209,-,227.1MiB,680.2MiB,0,4,276,149504.0,0.0,0.5,1.2
17:42:48,47,209,-,296.7MiB,680.2MiB,0,11,276,,,0.0,0.0
17:42:57,15000,253,-,299.3MiB,680.2MiB,0,13,276,,,0.0,0.0
17:43:06,15002,252,-,302.4MiB,680.2MiB,0,11,276,,,0.0,0.0
17:43:15,14624,254,-,300.2MiB,723.7MiB,0,13,276,,,0.0,0.0
17:43:24,15462,252,-,285.3MiB,680.2MiB,0,12,276,,,0.0,0.0
17:43:33,14999,260,-,296.4MiB,680.4MiB,0,11,276,,,0.0,0.0
17:43:43,15003,254,-,289.9MiB,680.2MiB,0,12,276,,,0.0,0.0
17:43:51,15003,261,-,291.8MiB,680.2MiB,0,13,276,,,0.0,0.0
17:44:00,15003,249,-,294MiB,680.2MiB,0,13,276,,,0.0,0.0
17:44:09,14999,251,-,297.8MiB,680.2MiB,0,12,276,,,0.0,0.0
17:44:18,15074,256,-,290.4MiB,680.2MiB,0,11,276,,,0.0,0.0
17:44:27,15001,244,-,282.6MiB,680.2MiB,0,12,276,,,0.0,0.0
17:44:35,15000,241,-,290.9MiB,680.2MiB,0,11,276,,,0.0,0.0
17:44:44,15003,258,-,279.7MiB,680.2MiB,0,13,276,4500.0,0.0,5.1,5.2
17:44:54,14698,252,-,266.9MiB,680.2MiB,0,4,276,44667.0,0.0,5.1,5.2
17:45:03,300,239,-,263.1MiB,680.2MiB,0,4,276,72617.0,0.0,5.1,5.2
17:45:12,201,228,-,261.7MiB,680.2MiB,0,4,276,100513.0,0.0,5.1,5.2
17:45:22,39,231,-,243.8MiB,680.2MiB,0,4,276,128602.0,0.0,5.1,5.2
17:45:31,50,218,-,241.9MiB,680.2MiB,0,4,276,156298.0,0.0,5.1,5.2
17:45:40,64,211,-,252.6MiB,680.2MiB,0,4,276,181555.0,0.0,4.8,5.2
17:45:49,168,225,-,230MiB,680.2MiB,0,4,276,183077.0,0.0,0.1,5.2
17:45:58,0,200,-,208.9MiB,680.5MiB,0,4,276,183077.0,0.0,0.1,5.2
17:46:06,0,185,-,197.8MiB,680.2MiB,0,4,276,183077.0,0.0,0.1,5.2
